"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"LINC00685",0.17051522310406,4.39349737545969,0.398340227483506,0.692012519482364,0.999012655624892,-4.91334775978419,"LINC00685"
"CDK5RAP1",-0.164012292824137,5.08944968076911,-0.397729405196966,0.692024165698325,0.999012655624892,-4.96114516596593,"CDK5RAP1"
"RASGEF1C",0.191483551193476,3.96653396728548,0.397744326781534,0.692065857572138,0.999012655624892,-4.89490549940169,"RASGEF1C"
"NT5M",-0.162698460121106,4.31324451431824,-0.397616858040986,0.692159384920587,0.999012655624892,-4.92145548782035,"NT5M"
"ACSL4",0.13480713861667,6.26075940356165,0.397529082695365,0.692171180437891,0.999012655624892,-5.03277058765936,"ACSL4"
"GSG1L2",-0.184051569959679,3.86747381099041,-0.398126588214377,0.692268776585144,0.999012655624892,-4.89177191151869,"GSG1L2"
"TESK2",0.156099630570566,5.82046005555082,0.397378285921782,0.692281856541982,0.999012655624892,-5.01226762419122,"TESK2"
"C6orf118",-0.177179645279146,3.89397371432025,-0.397405013977861,0.692314831396871,0.999012655624892,-4.89198671740797,"C6orf118"
"SMIM5",-0.177179645279146,3.89397371432025,-0.397405013977861,0.692314831396871,0.999012655624892,-4.89198671740797,"SMIM5"
"P2RX6",-0.177179645279146,3.89397371432025,-0.397405013977861,0.692314831396871,0.999012655624892,-4.89198671740797,"P2RX6"
"LRRC74B",-0.177179645279146,3.89397371432025,-0.397405013977861,0.692314831396871,0.999012655624892,-4.89198671740797,"LRRC74B"
"PSMA3",-0.149258914345263,5.60959465306886,-0.397287361854557,0.692348592788087,0.999012655624892,-4.99537135655097,"PSMA3"
"IMMT",0.135883592060357,6.20030313416029,0.397111285966109,0.692477835515226,0.999012655624892,-5.02432760132437,"IMMT"
"RIMKLB",-0.121487998321615,6.87845616856204,-0.397109717101991,0.692478987129548,0.999012655624892,-5.06326725646174,"RIMKLB"
